"resourceCategory","slug","name","productType","codeDisplay","codeValue","baseUnitDisplay","dosageFormDisplay","dosageFormCode","routeCode","routeDisplay","alternateIdentifier","alternateNameType","alternateNameValue"
"Medications","ciprofloxacin-ip-500-mg","Ciprofloxacin IP 500 mg","medication","","","tablets","","","","","","",""
"Medications","telmisartan-40mg","Telmisartan 40mg","medication","","","tablets","","","","","","",""
"Medications","itraconazole-bp-100","Itraconazole Capsule BP 100 m","medication","","","tablets","","","","","","",""
